SpinCore Technologies, Inc. SpinAPI ver. 20171214
Logfile created: Tue Oct  5 15:16:14 2021

Markers: (I) info, (W) warning, (E) error.

================================================================================================
    TIME     FUNCTION                     MESSAGE                      
================================================================================================
(I) 15:16:14 os_count_boards:177         Registering WinDriver...
(I) 15:16:14 RegisterWinDriver:135       Using WinDriver version 1031.
(I) 15:16:14 RegisterWinDriver:151       lic.dwLicense:  0x2051dfc
(I) 15:16:14 RegisterWinDriver:152       lic.dwLicense2: 0x88
(I) 15:16:14 RegisterWinDriver:153       license setup succeeded
(I) 15:16:14 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 15:16:14 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 15:16:14 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 15:16:14 pb_init:188                 Entering pb_init. cur_board = 0
(I) 15:16:14 os_usb_count_devices:71     os_usb_count_devices: Enumerating USB Devices...
(I) 15:16:14 os_usb_count_devices:86     os_usb_count_devices: Enumeration Completed. Found 0 Devices.
(I) 15:16:14 pb_count_boards:144         pb_count_boards(): Detected 1 boards in your system.
(I) 15:16:14 do_os_init:1623             do_os_init: board # 0
(I) 15:16:14 do_os_init:1624             do_os_init: num_pci_boards: 1
(I) 15:16:14 do_os_init:1625             do_os_init: num_usb_devices: 0
(I) 15:16:14 do_os_init:1630             do_os_init: initializing pci
(I) 15:16:14 os_init:226                 card_num: 0
(I) 15:16:14 os_init:227                 PciScanCards found 1 SpinCore cards, 0 other cards.
(I) 15:16:14 os_init:228                 Found Product ID: 8878
(I) 15:16:14 os_init:235                 	PulseBlasterESR-PRO
(I) 15:16:14 os_init:235                 	PulseBlaster-24 (SP17)
(I) 15:16:14 os_init:235                 	PulseBlaster-16 (SP17)
(I) 15:16:14 os_init:235                 	PulseBlaster-12 (SP17)
(I) 15:16:14 get_caps:22                 dev_id=0x8878
(I) 15:16:14 get_caps:107                Detected PulseBlasterESR board (r 0x913)
(I) 15:16:14 pb_start_programming:265    pb_start_programming (device=0)
(I) 15:16:14 pb_start_programming:328    pb_start_programming: reset
(I) 15:16:14 pb_outp:1551                pb_outp: addr 0, data 0. Using the direct protocol.
(I) 15:16:14 pb_outp:1551                pb_outp: addr 2, data a. Using the direct protocol.
(I) 15:16:14 pb_outp:1551                pb_outp: addr 3, data 0. Using the direct protocol.
(I) 15:16:14 pb_outp:1551                pb_outp: addr 4, data 0. Using the direct protocol.
